Year,Domestic,International,Total
2002,142589516,28633764,171223280
2003,583293766,117569855,700863621
2004,629769616,133940075,763709691
2005,657261487,143588422,800849909
2006,658362620,149740591,808103211
2007,679185450,156324972,835510422
2008,651710182,158111711,809821893
2009,618067255,149749333,767816588
2010,629537593,157940463,787478056
2011,638247667,163887126,802134793
2012,642289482,170833883,813123365
2013,645677554,179644509,825322063
2014,662826955,189022857,851849812
2015,696016894,200615008,896631902
2016,719996828,211992471,931989299
2017,741735098,223029847,964764945
2018,777972787,235239717,1013212504
2019,811545260,241419751,1052965011
2020,337519065,63049602,400568667
2021,605935383,94624181,700559564
2022,750558998,186808094,937367092
2023,819333204,233976597,1053309801
2024,852113087,254941518,1107054605
2025,190769049,58503772,249272821
